station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0AI30,2020-03-21 00:00:00,26,0,0,22.1,0.85,1013.9,,0,-99,-99,-99,22.9,,19.7,
C0R240,2020-03-21 00:00:00,87,103,1,-99,0.84,1005.5,,0,-99,-99,-99,28.5,,19.1,
C0AD30,2020-03-21 00:00:00,20,0,0,22.6,0.73,1011.7,,0,-99,-99,-99,24.2,,19.8,
C0D430,2020-03-21 00:00:00,87,0,0,19.1,0.99,1005.1,,0,-99,-99,-99,24.6,,16.8,
C0X210,2020-03-21 00:00:00,38,133,0.6,21.1,0.97,1010,,0,-99,-99,-99,28.6,,19.7,
C0R680,2020-03-21 00:00:00,13,305,0.5,21.7,0.9,1014.8,,0,-99,-99,-99,26.1,,21.5,
C0AH10,2020-03-21 00:00:00,30,150,1.9,22.7,0.97,1012,,0,-99,-99,-99,23.8,,19.8,
C0E880,2020-03-21 00:00:00,507,180,2.7,20.3,0.99,958.6,,0,-99,-99,-99,24.3,,18,
C0O960,2020-03-21 00:00:00,112,37,0.8,20.6,0.9,1002.2,,0,-99,-99,-99,28.9,,19,
C0H950,2020-03-21 00:00:00,192,0,0,20.4,0.94,994.2,,0,-99,-99,-99,28,,18.7,
C0SA60,2020-03-21 00:00:00,6,353,0.5,21.1,0.9,1015.7,,0,-99,-99,-99,26.1,,21.1,
C0A540,2020-03-21 00:00:00,401,0,0,18.3,0.96,970.4,,0,-99,-99,-99,20,,15.6,
C0C690,2020-03-21 00:00:00,242,168,0.9,19,0.8,988.1,,0,-99,-99,-99,22.3,,17,
C0V370,2020-03-21 00:00:00,74,0,0,20,0.95,1008.3,,0,-99,-99,-99,29.6,,19.3,
C0I110,2020-03-21 00:00:00,161,315,0.4,22.2,0.86,998.4,,0,-99,-99,-99,28,,20.2,
C0M750,2020-03-21 00:00:00,10,20,1.4,21.1,0.89,1014.9,,0,-99,-99,-99,26.4,,21,
C0R340,2020-03-21 00:00:00,230,37,0.3,18.9,0.98,989.5,,0,-99,-99,-99,27.7,,18.9,
C0U970,2020-03-21 00:00:00,7,0,0,20.3,0.93,1017.5,,0,-99,-99,-99,22,,19.6,
C0X300,2020-03-21 00:00:00,70,0,0,20.4,0.95,1007.8,,0,-99,-99,-99,28.5,,18.8,
C0R480,2020-03-21 00:00:00,57,24,0.8,22.1,0.87,1008.8,,0,-99,-99,-99,29.7,,20.7,
C0A9E0,2020-03-21 00:00:00,26,74,0.3,22.2,0.74,1013.6,,0,-99,-99,-99,24.6,,18.9,
C0R590,2020-03-21 00:00:00,72,355,1.5,22.5,0.99,1007.6,,0,-99,-99,-99,28.6,,21,
C0G820,2020-03-21 00:00:00,29,0,0.2,20.8,0.94,1012.4,,0,-99,-99,-99,26.7,,20.2,
C0U600,2020-03-21 00:00:00,10,0,0,19.8,0.99,1015.6,,0,-99,-99,-99,22.2,,18.7,
C0U910,2020-03-21 00:00:00,17,242,0.7,20,0.91,1015.3,,0,-99,-99,-99,21.7,,19.4,
C0V630,2020-03-21 00:00:00,19,70,0.9,22.2,0.84,1013.6,,0,-99,-99,-99,26.6,,21.3,
C0D650,2020-03-21 00:00:00,97,193,1.4,19.9,0.92,1004.9,,0,-99,-99,-99,23.4,,18.1,
C0K510,2020-03-21 00:00:00,10,27,0.5,20.6,0.91,1014.4,,0,-99,-99,-99,26.1,,20.4,
C0V360,2020-03-21 00:00:00,94,354,0.4,18.7,0.95,1005.2,,0,-99,-99,-99,29.8,,18.1,
C0M780,2020-03-21 00:00:00,30,0,0,20.8,0.89,1013,,0,-99,-99,-99,28.9,,20.2,
C0K530,2020-03-21 00:00:00,12,28,1.4,21.4,0.91,1014.9,,0,-99,-99,-99,24.6,,21.2,
C0V750,2020-03-21 00:00:00,50,59,1.3,22.5,0.89,1011.4,,0,-99,-99,-99,28.9,,21.2,
C0T790,2020-03-21 00:00:00,2830,281,0.9,5.4,0.99,728.4,,0,-99,-99,-99,13.6,,5.4,
C0S730,2020-03-21 00:00:00,110,22,3.9,22.1,0.92,1003.9,,4.5,-99,-99,-99,23,,19.8,
C0F0D0,2020-03-21 00:00:00,3171,145,1.5,3,0.7,699.3,,0,-99,-99,-99,5.9,,2.3,
C0F9X0,2020-03-21 00:00:00,166,359,1.1,20,0.99,998.1,,0,-99,-99,-99,23.7,,19.1,
C0F9Q0,2020-03-21 00:00:00,149,0,0,19.8,1,998.1,,0,-99,-99,-99,24.2,,18.2,
C0E780,2020-03-21 00:00:00,160,0,0,20.1,1,997.7,,0,-99,-99,-99,23.8,,18.2,
C0SA80,2020-03-21 00:00:00,136,287,0.7,20.3,0.96,1001.2,,0,-99,-99,-99,24.1,,20.2,
C0T960,2020-03-21 00:00:00,120,0,0,19.7,0.99,1003.8,,14.5,-99,-99,-99,21.5,,18.3,
C0X320,2020-03-21 00:00:00,30,125,0.9,19.4,0.94,1012,,0,-99,-99,-99,30.2,,18.9,
C0UA50,2020-03-21 00:00:00,808,149,0.6,16,1,926.2,,7,-99,-99,-99,16.2,,13.9,
C0U860,2020-03-21 00:00:00,5,288,0.3,20.4,0.95,1016.7,,0,-99,-99,-99,22.2,,19.6,
C0F0C0,2020-03-21 00:00:00,983,178,0.3,16.4,0.99,907.2,,0,-99,-99,-99,22.2,,14.8,
C0D480,2020-03-21 00:00:00,223,0,0,18.2,0.98,989.6,,0,-99,-99,-99,23.9,,16.4,
C0K291,2020-03-21 00:00:00,8,7,1.4,20.9,0.92,1015.7,,0,-99,-99,-99,26.3,,20.8,
C0X170,2020-03-21 00:00:00,50,55,0.6,21.6,0.94,1009.8,,0,-99,-99,-99,30.4,,20.1,
C0AH30,2020-03-21 00:00:00,755,167,4.9,17.6,1,931.8,,1.5,-99,-99,-99,17.6,,15.4,
C0R130,2020-03-21 00:00:00,1040,87,0.3,16.4,0.99,899.9,,0,-99,-99,-99,22.2,,16.3,
C0M790,2020-03-21 00:00:00,15,13,1.4,20.8,0.88,1013.3,,0,-99,-99,-99,27.9,,20.4,
C0I520,2020-03-21 00:00:00,3860,191,11.8,1.1,0.31,642.7,,-99,-99,-99,-99,2.7,,-1.4,
C0C590,2020-03-21 00:00:00,72,216,0.5,18.7,0.95,1007,,0,-99,-99,-99,24.3,,17.4,
C0G780,2020-03-21 00:00:00,27,3,1.1,21.3,0.92,1012.7,,0,-99,-99,-99,25,,20.1,
C0V660,2020-03-21 00:00:00,25,44,0.8,22.4,0.86,1013.5,,0,-99,-99,-99,28.5,,21,
C0F9R0,2020-03-21 00:00:00,20,0,0,20.8,1,1014.7,,0,-99,-99,-99,23.4,,19.3,
